"","date","time","latitude","longitude","stop","subject","ta","vp","ws","mrt","pet"
"189",2018-09-29,"17:24:17",33.457771,-112.041043,"7","8",37.8,12,2.6,65.9,52
"190",2018-09-29,"17:24:17",33.457771,-112.041035,"7","8",37.8,12,2.6,65.9,52
"191",2018-09-29,"17:23:17",33.457799,-112.041013,"7","8",37.7,12,2.4,65.5,51.8
"192",2018-09-29,"17:23:17",33.457791,-112.041035,"7","8",37.7,12,2.4,65.5,51.8
"193",2018-09-29,"17:24:17",33.457795,-112.041036,"7","8",37.7,12,2.4,65.5,51.8
"194",2018-09-29,"17:24:17",33.457796,-112.041033,"7","8",37.7,12,2.4,65.5,51.8
"195",2018-09-29,"16:53:16",33.451513,-112.046608,"3","9",38.1,12,0.7,61.8,51.5
"196",2018-09-29,"16:53:16",33.451521,-112.046611,"3","9",38.1,11,0.8,61.1,51
"197",2018-09-29,"16:54:16",33.451506,-112.046618,"3","9",38.1,11,0.8,61.1,51
"198",2018-09-29,"16:52:16",33.451531,-112.046626,"3","9",38.1,11,1.4,61.8,51
"199",2018-09-29,"16:53:16",33.45154,-112.046626,"3","9",38.1,11,1.4,61.8,51
"200",2018-09-29,"16:53:16",33.45153,-112.046619,"3","9",38.1,11,1.4,61.8,51
"201",2018-09-29,"16:54:16",33.451489,-112.046628,"3","9",38.1,11,1.4,61.8,51
"202",2018-09-29,"16:54:16",33.451476,-112.046631,"3","9",38.1,11,1.4,61.8,51
"203",2018-09-29,"16:54:16",33.451479,-112.046643,"3","9",38.1,12,1.6,61.5,50.8
"204",2018-09-29,"16:53:16",33.451561,-112.046633,"3","9",38.1,11,1.1,64.7,52.8
"205",2018-09-29,"16:53:16",33.451554,-112.046631,"3","9",38,12,0.8,64.4,52.9
"206",2018-09-29,"16:54:16",33.451541,-112.046653,"3","9",38,12,0.8,64.4,52.9
"207",2018-09-29,"16:54:16",33.451643,-112.046654,"3","9",38.1,12,0.5,63.1,52.5
"208",2018-09-29,"17:28:17",33.457793,-112.040983,"7","9",37.8,13,2.1,60.3,49.6
"209",2018-09-29,"17:28:17",33.457768,-112.041013,"7","9",37.8,13,2.3,61.3,50.1
