"","park_name","year","recreation_visitors","non_recreation_visitors","recreation_hours","non_recreation_hours","concessioner_lodging","concessioner_camping","tent_campers","rv_campers","backcountry","non_recreation_overnight_stays","miscellaneous_overnight_stays"
"240","Mesa Verde NP",2022,499790,10650,3520779,10650,19088,0,21920,29520,0,0,123
"241","Minidoka NHS",2022,13717,0,23816,0,0,0,0,0,0,0,0
"242","Minute Man NHP",2022,960343,0,1440513,0,0,0,0,0,0,0,0
"243","Minuteman Missile NHS",2022,105776,0,88398,0,0,0,0,0,0,0,0
"244","Mississippi NRRA",2022,303882,0,504210,0,0,0,0,0,0,0,0
"245","Missouri NRR",2022,133162,0,133162,0,0,0,0,0,0,0,0
"246","Mojave NPRES",2022,773463,0,4680567,0,0,0,1382,1308,0,0,626
"247","Monocacy NB",2022,127111,90,279025,250,0,0,0,0,0,0,0
"248","Montezuma Castle NM",2022,364014,0,364014,0,0,0,0,0,0,0,0
"249","Moores Creek NB",2022,53681,0,35819,0,0,0,0,0,126,0,0
"250","Morristown NHP",2022,245231,0,644067,0,0,0,0,0,0,0,0
"251","Mount Rainier NP",2022,1622395,749192,20235496,749192,37779,0,54851,32799,43468,0,7636
"252","Mount Rushmore NMEM",2022,2440449,845049,3213243,281680,0,0,0,0,0,0,0
"253","Muir Woods NM",2022,798625,0,1064567,0,0,0,0,0,0,0,0
"254","Natchez NHP",2022,64691,0,163583,0,0,0,0,0,0,0,0
"255","Natchez Trace PKWY",2022,6543533,8503412,26411999,8503412,0,0,7722,13902,0,0,0
"256","National Capital Parks Central",2022,920643,0,906219,0,0,0,0,0,0,0,0
"257","National Capital Parks East",2022,1267873,32520441,2161194,21229760,0,0,0,0,0,0,0
"258","National Park of American Samoa",2022,1887,0,3771,0,0,0,0,0,0,0,0
"259","Natural Bridges NM",2022,71249,800,440646,400,0,0,3035,3559,0,0,0
"260","Navajo NM",2022,41118,4683,119485,1170,0,0,1684,2053,0,0,185
"261","New Bedford Whaling NHP",2022,13570,0,2164,0,0,0,0,0,0,0,0
"262","New Orleans Jazz NHP",2022,37410,0,47358,0,0,0,0,0,0,0,0
"263","New River Gorge NP & PRES",2022,1593523,2400,4165760,4800,0,0,16061,9963,12530,0,3007
"264","Nez Perce NHP",2022,344517,1800,276292,180,0,0,0,0,0,0,0
"265","Nicodemus NHS",2022,5307,0,5307,0,0,0,0,0,0,0,0
"266","Ninety Six NHS",2022,108082,0,135101,0,0,0,0,0,0,0,0
"267","Niobrara NSR",2022,80071,0,618953,0,0,0,0,0,0,0,0
"268","Noatak NPRES",2022,18393,8450,412233,205600,0,0,0,0,5650,5750,0
"269","North Cascades NP",2022,30154,0,563931,0,0,0,0,0,23310,0,0
"270","Obed W&SR",2022,306502,10800,1317101,900,0,0,4408,0,386,0,0
"271","Ocmulgee Mounds NHP",2022,155242,0,232865,0,0,0,0,0,0,0,0
"272","Olympic NP",2022,2432972,622476,14577588,223385,69525,12781,137274,102358,133751,0,86
"273","Oregon Caves NM & PRES",2022,72923,520,228306,1040,0,0,488,108,0,0,0
"274","Organ Pipe Cactus NM",2022,133317,401696,809793,200848,0,0,7773,36176,49,205,878
"275","Ozark NSR",2022,1291305,0,3519220,0,0,0,53728,27156,10720,0,28906
"276","Padre Island NS",2022,531624,1800,3872044,14400,0,0,16786,36623,13604,0,424
"277","Palo Alto Battlefield NHP",2022,196252,0,226061,0,0,0,0,0,0,0,0
"278","Paterson Great Falls NHP",2022,248293,0,447440,0,0,0,0,0,0,0,0
"279","Pea Ridge NMP",2022,81992,0,163989,0,0,0,0,0,0,0,0
"280","Pearl Harbor NMEM",2022,1545582,0,4636746,0,0,0,0,0,0,0,0
"281","Pecos NHP",2022,49683,0,63429,0,0,0,0,0,0,0,0
"282","Pennsylvania Avenue NHS",2022,56928,0,18786,0,0,0,0,0,0,0,0
"283","Perry's Victory & Intl. Peace MEM",2022,90988,0,107579,0,0,0,0,0,0,0,77
"284","Petersburg NB",2022,180907,399296,178937,99826,0,0,0,0,0,0,0
"285","Petrified Forest NP",2022,505209,120,1281126,120,0,0,0,0,789,0,0
"286","Petroglyph NM",2022,339394,0,678785,0,0,0,0,0,0,0,0
"287","Pictured Rocks NL",2022,925685,5721,7109905,23780,0,0,17641,14219,28117,0,0
"288","Pinnacles NP",2022,275023,0,1686973,0,0,31930,0,0,0,0,0
"289","Pipe Spring NM",2022,23001,404,34501,900,0,0,0,0,0,0,0
"290","Pipestone NM",2022,78036,0,195093,0,0,0,0,0,0,0,0
"291","Piscataway Park",2022,243212,0,448491,0,0,0,0,0,0,0,0
"292","Point Reyes NS",2022,2336202,25788,11236008,25788,4576,973,0,0,60648,0,0
"293","Port Chicago Naval Magazine NMEM",2022,1129,0,2258,0,0,0,0,0,0,0,0
