"","year","epa_region","state","number_NPDESpermits_majorwatershed","number_NPDESpermits_nonmajorwatershed","total_pollutants_lb_yr_majorwateshed","total_pollutants_lb_yr_nonmajorwateshed","total_TOXICpollutants_lb_yr_majorwatershed","total_TOXICpollutants_lb_yr_nonmajorwatershed"
"213",2020,"4","NORTH CAROLINA",226,1175,285373510,3357181610,49589,105674
"214",2020,"8","NORTH DAKOTA",24,89,162953948,59833076,361529,25473
"215",2020,"5","OHIO",287,3061,4228028430,956658710,286375,67513
"216",2020,"6","OKLAHOMA",106,359,328300906,840084777,173644,17701
"217",2020,"10","OREGON",73,280,134585855,11537887,62086,9021
"218",2020,"3","PENNSYLVANIA",400,6438,7794397366,6714727937,2914351,1316352
"219",2020,"2","PUERTO RICO",66,141,3556026301,174460577,230193,5234
"220",2020,"1","RHODE ISLAND",23,48,13200755,5918667,16393,2388
"221",2020,"4","SOUTH CAROLINA",160,358,201448032,4021715,4617752,727771
"222",2020,"8","SOUTH DAKOTA",23,233,26401863,52365279,6844,2808
"223",2020,"4","TENNESSEE",162,942,1481182201,177831284,578026,104031
"224",2020,"6","TEXAS",730,2598,6461445973,1190374156,911195,19879781
"225",2020,"8","UTAH",42,177,474698321,110305796,36851904,11836
"226",2020,"1","VERMONT",34,277,11135350,893289,10946,2265
"227",2020,"2","VIRGIN ISLANDS",8,75,25037779,39600966,13591,3435
"228",2020,"3","VIRGINIA",153,1036,1095986545,183949901,91473,9126
"229",2020,"10","WASHINGTON",77,367,580164,2184189,148,443
"230",2020,"3","WEST VIRGINIA",89,1929,908435629,1927402516,1315834,1759418
"231",2020,"5","WISCONSIN",126,1158,152271687,48853248,21781,10247
"232",2020,"8","WYOMING",24,653,18662126231,724572387,3991992,13861810
"233",2019,"4","ALABAMA",175,1195,1975433550,490699810,649991,970638
"234",2019,"10","ALASKA",41,46,74445091,6256261,54302,231
"235",2019,"9","AMERICAN SAMOA",4,2,6372380,13284,517,13
"236",2019,"9","ARIZONA",74,99,839526538,22142696,152304,1572
"237",2019,"6","ARKANSAS",116,692,473934858,46059114,227513,67704
"238",2019,"9","CALIFORNIA",242,209,3741336738,95419781,99568432,161041975
"239",2019,"8","COLORADO",125,439,511105680,358195027,56866,11895
"240",2019,"1","CONNECTICUT",86,65,40317081,63414973,745020,6250
"241",2019,"3","DELAWARE",17,31,7999711,383033,382080,983
"242",2019,"3","DISTRICT OF COLUMBIA",4,7,10826908,82365,16906,195
"243",2019,"4","FLORIDA",405,271,322645426,238228206,556864,916770
"244",2019,"4","GEORGIA",203,558,313300508,10984227,118560,10173
"245",2019,"9","GUAM",4,14,5585278,3741767,3457,5097
"246",2019,"6","GULF OF MEXICO",NA,1,NA,NA,NA,NA
"247",2019,"9","HAWAII",18,235,75079773,865766,232227,2447
"248",2019,"10","IDAHO",39,127,102452915,4552220,14656,2051
"249",2019,"5","ILLINOIS",269,1246,907864403,198671880,1249735,189262
"250",2019,"5","INDIANA",191,12636,1417380489,243091072,1031358,13243
"251",2019,"7","IOWA",142,1470,82006240,222187944,43801,85250
"252",2019,"7","KANSAS",60,1333,187371906,69844476,135438,5350
"253",2019,"4","KENTUCKY",138,1333,580456818,168398499,2090233,239847
"254",2019,"6","LOUISIANA",240,1032,118113962983,2065415315,14299242,101434
"255",2019,"1","MAINE",74,336,86352131,1224198,14368,1811
"256",2019,"9","MARIANA ISLANDS",2,3,990396,5180,0,5
"257",2019,"3","MARYLAND",94,403,35894951,76268140,774885,101238
"258",2019,"1","MASSACHUSETTS",121,105,2375379774,11136623,354769,17877
"259",2019,"5","MICHIGAN",189,484,967450994,627708766,464244,227051
"260",2019,"5","MINNESOTA",102,598,2377687160,102245864,149905,12776
"261",2019,"4","MISSISSIPPI",91,1142,48135459,158652342,45258,81159
"262",2019,"7","MISSOURI",179,2705,663354509,17184400609,1114870,16295985
"263",2019,"8","MONTANA",33,153,131548644,39641357,22622,2808
"264",2019,"7","NEBRASKA",51,632,279586314,1760073806,26601,208150
"265",2019,"9","NEVADA",14,84,567711139,108995982,9166,15279
"266",2019,"1","NEW HAMPSHIRE",48,34,146580265,784406,17204,819
"267",2019,"2","NEW JERSEY",134,346,363905102,18497214,169514,1038
"268",2019,"6","NEW MEXICO",33,89,144470707,7937526,18440599,547
"269",2019,"2","NEW YORK",319,1269,1090523542,296613049,1858237,111028
"270",2019,"4","NORTH CAROLINA",226,1199,244121860,6564464658,54693,137971
"271",2019,"8","NORTH DAKOTA",24,86,160595732,34380392,56297,46506
"272",2019,"5","OHIO",288,3073,8728143145,6464372497,377312,271693
"273",2019,"6","OKLAHOMA",106,363,414520818,1218976007,191673,20997
"274",2019,"10","OREGON",73,284,130905944,15266261,23637,6554
"275",2019,"3","PENNSYLVANIA",402,6158,2989560157,4360876209,3417643,67545743528
"276",2019,"2","PUERTO RICO",69,148,2216434125,26243407,174419,56962
"277",2019,"1","RHODE ISLAND",23,49,15558610,8614617,29325,2098
"278",2019,"4","SOUTH CAROLINA",160,302,160317453,4448046,9742294717,590378
"279",2019,"8","SOUTH DAKOTA",23,236,21370222,33610665,8878,3177
"280",2019,"4","TENNESSEE",163,954,1304440957,125952405,435989,161354
"281",2019,"6","TEXAS",731,2553,5537385331,3632890279,1124943,781936
"282",2019,"8","UTAH",43,191,400934606,128561649,96400776,5173
"283",2019,"1","VERMONT",34,269,25976670,1033506,13825,2817
"284",2019,"2","VIRGIN ISLANDS",8,81,49359728,181722305,19517,310381
"285",2019,"3","VIRGINIA",152,1024,389896266,331144963,298967,10296
"286",2019,"10","WASHINGTON",77,371,2161536,1310259,977,573
"287",2019,"3","WEST VIRGINIA",90,1930,1148977119,1399802130,4076274,308101
"288",2019,"5","WISCONSIN",126,1148,187086151,57902630,31919,4772
"289",2019,"8","WYOMING",24,708,33639908601,795607948,5781892,18037881
"290",2018,"4","ALABAMA",176,1233,1625576049,670179155,380399,2822567
"291",2018,"10","ALASKA",41,46,72475615,7722653,45057,411
"292",2018,"9","AMERICAN SAMOA",4,2,8025145,16011,806,1
"293",2018,"9","ARIZONA",75,99,792206135,14800642,879395,5997
