"","city","bedrooms","bathrooms","sq_ft","price"
"337","Paso Robles",3,2,1300,315000
"338","Paso Robles",3,2,1244,279900
"339","Paso Robles",4,2,2139,399000
"340","Atascadero",4,3,2450,475000
"341","Santa Maria-Orcutt",2,2,840,65900
"342","Coalinga",4,3,1878,212000
"343","San Miguel",3,2,1350,180000
"344","Santa Maria-Orcutt",4,2,1377,210000
"345","Buellton",3,3,1475,375000
"346","Atascadero",2,2,894,106900
"347","Paso Robles",3,2,1550,221830
"348","Nipomo",3,2,1106,239000
"349","Atascadero",1,1,594,187500
"350","Los Alamos",5,3,3200,445000
"351","Santa Maria-Orcutt",3,2,1906,309000
"352","Santa Maria-Orcutt",3,2,2004,315000
"353","Santa Maria-Orcutt",3,1,1200,191100
"354","Cambria",5,3,1818,699900
"355","Nipomo",2,2,1040,189500
"356","Santa Maria-Orcutt",4,2,1400,199000
"357","Santa Maria-Orcutt",4,3,2209,359000
"358","Atascadero",3,1,1030,264450
"359","Templeton",3,2,1999,459000
"360","Santa Maria-Orcutt",3,2,1316,150000
"361","Pismo Beach",3,3,2200,875000
"362","Pismo Beach",2,2,1200,599000
"363","Atascadero",3,3,1261,250000
"364","Lompoc",3,2,1120,165000
"365","Santa Maria-Orcutt",4,3,1857,229900
"366","Santa Maria-Orcutt",3,2,1400,229900
"367","Paso Robles",3,2,1139,269900
"368","Santa Maria-Orcutt",5,3,6098,245000
"369","Santa Maria-Orcutt",3,2,1300,165000
"370","Lompoc",3,3,2041,429000
"371","Santa Maria-Orcutt",4,3,2248,309900
"372","Arroyo Grande",2,1,972,265000
"373","Santa Maria-Orcutt",4,2,1500,169900
"374","Santa Maria-Orcutt",3,2,2000,380900
"375","Santa Maria-Orcutt",4,3,1939,315000
"376","Lompoc",3,2,1413,260000
"377","Santa Maria-Orcutt",3,2,1312,119900
"378","Santa Maria-Orcutt",3,2,1275,211500
"379","Santa Maria-Orcutt",2,1,854,149000
"380","San Luis Obispo",3,3,3474,890000
"381","Cambria",3,2,1380,289900
"382","Santa Maria-Orcutt",4,3,2100,289000
"383","Oceano",3,2,1487,399900
"384","Santa Maria-Orcutt",3,2,900,125000
"385","Nipomo",5,3,3036,359900
"386","Santa Maria-Orcutt",3,3,1800,239000
"387","Santa Maria-Orcutt",3,3,1600,199900
"388","Santa Maria-Orcutt",4,3,2150,179900
"389","Santa Maria-Orcutt",3,2,1300,195000
"390","San Luis Obispo",2,2,896,299000
"391","Santa Maria-Orcutt",2,3,1700,265000
"392","Nipomo",3,2,1700,699000
"393","Grover Beach",2,2,1194,275000
"394","Paso Robles",3,2,1465,169990
"395","Santa Maria-Orcutt",3,3,1530,189000
"396","Santa Ynez",4,2,2032,695000
"397","Santa Maria-Orcutt",2,2,1088,105000
"398","Santa Maria-Orcutt",4,4,4000,365000
"399","Paso Robles",3,3,1296,335900
"400","Lompoc",3,2,944,170000
"401","Santa Maria-Orcutt",4,2,2100,339900
"402","Santa Maria-Orcutt",3,3,2340,359900
"403","Santa Maria-Orcutt",3,2,1080,143000
"404","Santa Maria-Orcutt",3,2,1196,199000
"405","San Luis Obispo",3,3,1365,374800
"406","Los Osos",3,2,2120,499000
"407","Atascadero",2,1,1055,138900
"408","Avila Beach",4,5,5307,1999000
"409","Paso Robles",3,2,1774,359000
"410","Santa Maria-Orcutt",4,2,1856,294900
"411","Atascadero",4,2,1836,299500
"412","Santa Maria-Orcutt",4,3,2367,427900
"413","Nipomo",3,2,1181,269000
"414","Bradley",3,3,2563,449000
"415","Santa Maria-Orcutt",2,2,1130,144900
"416","Santa Maria-Orcutt",3,3,2020,345000
"417","Paso Robles",4,2,1240,239000
"418","Los Osos",2,1,780,310000
"419","Santa Maria-Orcutt",3,3,1800,225000
"420","Paso Robles",5,6,3750,695000
"421","Nipomo",3,3,1650,242500
"422","Arroyo Grande",2,1,728,249250
"423","Grover Beach",3,2,1462,479000
"424","Lompoc",3,2,1150,169900
"425","Santa Maria-Orcutt",3,3,1660,219900
"426","Paso Robles",2,2,1440,150000
"427","Nipomo",4,2,1814,649000
"428","Santa Maria-Orcutt",4,3,2100,285000
"429","Paso Robles",3,2,1488,163999
"430","Nipomo",4,2,1718,349000
"431","Buellton",3,2,1716,409900
"432","Los Osos",3,2,1320,275000
"433","Santa Maria-Orcutt",3,2,1200,179900
"434","Oceano",3,3,2218,789000
"435","Santa Maria-Orcutt",4,3,1768,299000
"436","Arroyo Grande",5,4,3588,850000
"437","Santa Maria-Orcutt",3,2,1776,295900
"438","Santa Maria-Orcutt",4,3,1467,199000
"439","Santa Maria-Orcutt",3,3,1950,199900
"440","Santa Maria-Orcutt",3,2,1288,179900
"441","Atascadero",3,3,1733,290000
"442","Santa Maria-Orcutt",3,2,1128,168000
"443","Santa Maria-Orcutt",3,3,1900,270000
"444","Los Osos",6,7,5103,1249000
"445","Santa Maria-Orcutt",3,2,1255,240000
"446","Coalinga",5,2,1802,219500
"447","Santa Maria-Orcutt",4,3,2336,235000
"448","San Luis Obispo",2,2,1190,239800
"449","Santa Maria-Orcutt",3,3,1800,269000
"450","Paso Robles",4,3,2006,319200
"451","Paso Robles",3,2,2446,402500
"452","Paso Robles",3,2,2114,425000
"453","Atascadero",3,3,2600,669000
"454","Atascadero",3,2,1514,369000
"455","Paso Robles",3,2,1080,239900
"456","Grover Beach",2,2,1088,249500
"457","Solvang",4,2,1809,557000
"458","Santa Maria-Orcutt",6,3,2053,339900
"459","Nipomo",2,2,969,149900
"460","Arroyo Grande",3,4,3375,849900
"461","Lompoc",3,2,1594,307000
"462","Santa Maria-Orcutt",4,3,1900,259000
"463","Santa Maria-Orcutt",3,2,1050,165000
"464","Santa Maria-Orcutt",3,2,1414,289900
"465","Nipomo",3,4,3698,879000
"466","Santa Maria-Orcutt",3,2,1200,220000
"467","Atascadero",3,3,1685,309000
"468","Paso Robles",3,3,2271,580000
"469","Santa Maria-Orcutt",2,2,1150,459900
"470","Santa Maria-Orcutt",5,3,2481,299000
"471","Santa Maria-Orcutt",4,3,1600,309900
"472","Paso Robles",3,2,1269,287000
"473","Grover Beach",3,2,1200,310000
"474","Atascadero",3,2,1198,229900
"475","Buellton",3,2,1363,377000
"476","Lompoc",4,2,1973,295000
"477","Santa Maria-Orcutt",3,2,1516,225000
"478","Santa Maria-Orcutt",3,2,1080,130000
"479","Santa Maria-Orcutt",2,1,920,169990
"480","Santa Maria-Orcutt",3,2,1027,145000
"481","Greenfield",4,2,2018,184800
"482","Santa Maria-Orcutt",3,2,1253,189900
"483","Santa Maria-Orcutt",3,2,1062,249000
"484","Santa Maria-Orcutt",4,2,1934,185000
"485","Atascadero",2,2,1041,145000
"486","Paso Robles",5,3,2700,429000
"487","Arroyo Grande",2,2,1587,419000
"488","Santa Maria-Orcutt",3,3,1859,245000
"489","Santa Maria-Orcutt",4,3,2400,289900
"490","Santa Maria-Orcutt",3,2,1110,175000
"491","Santa Maria-Orcutt",3,2,1075,139000
"492","Arroyo Grande",4,3,2035,514900
"493","Pismo Beach",3,2,1858,549000
"494","Atascadero",3,3,1261,235000
"495","Atascadero",6,3,2628,399000
"496","Los Osos",3,2,1120,259900
"497","Lompoc",3,2,1686,350900
"498","Nipomo",4,4,5190,1399900
"499","Santa Maria-Orcutt",3,2,1840,399000
"500","Solvang",3,2,1204,399000
"501","Atascadero",2,1,973,199000
"502","Santa Maria-Orcutt",3,2,1622,350000
"503","Nipomo",4,2,2125,296800
"504","Santa Maria-Orcutt",3,2,1204,165000
"505","Santa Maria-Orcutt",3,3,1750,210000
"506","San Miguel",3,2,1458,229000
"507","San Miguel",3,2,1184,199500
"508","Santa Maria-Orcutt",3,2,1000,110000
"509","Paso Robles",3,3,1197,264900
"510","Atascadero",3,3,2135,449900
"511","Santa Maria-Orcutt",3,2,1114,159900
"512","Paso Robles",4,2,1870,429000
"513","Grover Beach",1,1,566,265000
"514","Nipomo",2,2,1134,279900
"515","Santa Maria-Orcutt",3,2,1100,174900
"516","Lompoc",4,2,1144,158900
"517","Santa Maria-Orcutt",3,2,1349,150000
"518","Buellton",3,3,1281,269000
"519","Atascadero",3,3,1957,489900
"520","Santa Maria-Orcutt",4,2,1174,256000
"521","Atascadero",4,3,2400,335000
"522","Morro Bay",3,2,1236,435000
"523","Santa Maria-Orcutt",3,3,1910,280000
"524","Paso Robles",4,2,2064,409000
"525","Paso Robles",4,2,2064,409000
"526","Paso Robles",4,3,1888,399000
"527","Paso Robles",4,2,1862,389000
"528","Nipomo",3,2,1106,222600
"529","Santa Maria-Orcutt",3,2,1200,140000
"530","Soledad",5,3,2408,220000
"531","Nipomo",3,3,2703,650000
"532","Lompoc",3,2,1728,405000
"533","Paso Robles",3,2,1960,409000
"534","Santa Maria-Orcutt",3,2,1092,164900
"535","Santa Margarita",1,1,628,59900
"536","Santa Maria-Orcutt",3,2,1275,199900
"537","Atascadero",2,1,756,95000
"538","Oceano",2,2,885,170000
"539","San Miguel",4,4,3531,720000
"540","Santa Maria-Orcutt",3,2,1712,204000
"541","Santa Maria-Orcutt",3,2,1100,220000
"542","Buellton",4,3,1500,498900
"543","Santa Maria-Orcutt",3,2,1671,229900
"544","San Luis Obispo",3,2,1668,531905
"545","Santa Maria-Orcutt",2,1,775,114900
"546","Guadalupe",3,2,1200,145000
"547","Lompoc",4,2,1237,191330
"548","Lompoc",4,2,1338,199900
"549","Santa Maria-Orcutt",4,3,2100,266800
"550","San Miguel",2,2,1222,84900
"551","Santa Maria-Orcutt",3,2,1807,250000
"552","Santa Maria-Orcutt",4,2,1352,220000
"553","Lompoc",3,2,1503,227900
"554","Buellton",4,2,1571,384900
"555","Paso Robles",4,3,2502,529000
"556","Santa Maria-Orcutt",3,2,1526,159900
"557","Atascadero",3,2,1007,199000
"558","Lompoc",3,3,1306,125000
"559","Bakersfield",3,2,1313,91500
"560","Santa Maria-Orcutt",3,2,1593,155000
"561","Paso Robles",3,3,2203,409000
"562","Atascadero",5,4,5200,949000
